Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-07-22;NETZ;93.57079232;89.7036127184;96.0055585393;94.2868618131;90.6649365305;96.3455576737;91.7547214836;89.6142094334;92.142046217;97.1319544554;98.7882748814;2021-07-22 00:00:00-NETZ
2021-07-22;RME;91.8062811811;89.4403258359;94.1962349442;92.7016235007;90.5058592663;94.7327082967;89.838770389;88.8134156851;90.0668818304;96.4165504325;97.9986724195;2021-07-22 00:00:00-RME
2021-07-22;RWT;87.7057833582;86.1141932685;89.9826945034;88.8918770038;87.6053110955;90.647803674;85.6338177414;86.6641791045;85.3023209284;97.0800972512;98.287326214;2021-07-22 00:00:00-RWT
2021-01-27;NETZ;86.098289362;80.3955067613;89.6484946484;86.9751868727;81.9411479059;89.8033979802;85.1956179887;82.0314038052;85.7573023159;94.7494341723;98.0867534489;2021-01-27 00:00:00-NETZ
2021-01-27;RME;83.1046578743;77.5185864085;88.5724337705;83.9831300208;78.3583321822;89.0608967608;84.5630704543;80.9322105859;85.3663660843;94.682610344;97.8477301286;2021-01-27 00:00:00-RME
2021-01-27;RWT;81.0400743096;79.2077688338;83.4782552982;82.7945813247;81.8641095427;83.9549516407;79.3051130454;81.7561692127;78.5608050243;94.6124030373;97.6478067387;2021-01-27 00:00:00-RWT
2021-01-29;ROT;92.99111937;88.9111480906;94.3927891508;93.8133554784;90.1782331644;94.8996254739;92.5338799546;90.5118711136;92.7422591827;95.978818364;98.7990415018;2021-01-29 00:00:00-ROT
2021-11-01;RME;89.8696973607;86.3473627447;93.4328761346;90.6134942489;86.7897148895;94.1642498369;89.388572169;87.0141242938;89.922088226;96.7632297758;98.4662157546;2021-11-01 00:00:00-RME
2021-11-01;RWT;81.7508225378;79.7059231705;84.4352475255;82.8682211702;80.409362394;85.9689596017;80.808858739;82.0636192271;80.442890523;95.6982171604;97.75;2021-11-01 00:00:00-RWT
2021-11-03;RME;85.7787432483;81.9450168166;89.6454615519;86.8856148062;83.6840565744;89.8008355369;84.4255039439;82.757532689;84.7950437685;95.3994347981;97.7038201326;2021-11-03 00:00:00-RME
2021-11-03;ROT;86.5620894619;81.6885842846;88.1862863323;87.4945152768;82.8128301341;88.8535411491;87.5571504874;84.0300642148;87.9123578001;95.0835662871;98.3295842101;2021-11-03 00:00:00-ROT
2021-11-04;ROT;87.1566159988;80.3727883118;89.4718103506;87.8718482316;82.0786382571;89.5810819804;89.6445956382;87.4181084198;89.871130996;94.6186279233;98.4745955475;2021-11-04 00:00:00-ROT
2021-03-13;RWT;80.4051558863;79.6254869959;81.6878442647;91.7206773392;91.0605048505;92.7008688928;88.0922957601;92.0226771267;86.6851136663;98.7650908816;99.0399191511;2021-03-13 00:00:00-RWT
2021-03-15;ROT;92.092748239;89.2268747498;93.0670587079;92.6706524642;89.8874380109;93.496314857;92.7719754568;92.6643406437;92.7830988403;96.7298292141;99.0839759703;2021-03-15 00:00:00-ROT
2021-10-17;RSD;81.3479879041;79.227725621;84.4648554475;82.904249323;80.4602370527;85.5590132203;92.3867976751;90.1035141329;93.6840277778;99.4905289504;98.5805860806;2021-10-17 00:00:00-RSD
2021-10-17;RWT;80.7372714139;76.7411818465;86.6323528999;83.669362021;79.9343035083;88.2884853886;88.7360243273;85.4457422758;89.6700716654;97.8197324482;99.0400199476;2021-10-17 00:00:00-RWT
2021-10-18;RME;90.2070813896;88.3872427651;92.0442500124;90.8800220861;88.8056375975;92.7908419924;90.2760258846;89.1308819386;90.5312774777;97.4945020049;98.689793286;2021-10-18 00:00:00-RME
2021-10-19;NETZ;91.5921521058;86.9219340349;94.5101275286;92.2158220974;87.4803714872;94.8959138795;90.4010853532;87.2813030325;90.9481259622;96.9689886177;98.8132751674;2021-10-19 00:00:00-NETZ
2021-10-19;ROT;94.688841939;88.9482590685;96.647787184;95.2343147029;89.5992050074;96.9057772075;93.3753257805;91.0887850467;93.6043946398;96.9927716836;98.9692629661;2021-10-19 00:00:00-ROT
2021-10-20;NETZ;90.6996922943;86.4271868106;93.3674214488;91.3771996413;87.2438236839;93.7095939105;90.2170393215;87.7248651843;90.6537416023;96.7514574728;98.6944273263;2021-10-20 00:00:00-NETZ
2021-10-20;RME;90.138984833;88.0068498021;92.2943136176;90.801090338;88.8930014822;92.5623825327;89.7262953103;88.485915493;90.0018145414;96.7124814467;98.3305734852;2021-10-20 00:00:00-RME
